dim_0,dim_1,dim_2
-6.283185307179586,-6.283185307179586,0.20712405302444828
-6.233185307179586,-6.283185307179586,0.22849781964769772
-6.183185307179587,-6.283185307179586,0.24780478750616095
-6.133185307179587,-6.283185307179586,0.26495237298221874
-6.083185307179587,-6.283185307179586,0.2798651942168504
-6.033185307179587,-6.283185307179586,0.29248424518731203
-5.983185307179587,-6.283185307179586,0.30276814541677055
-5.9331853071795875,-6.283185307179586,0.310692209020056
-5.883185307179588,-6.283185307179586,0.3162487271037342
-5.833185307179588,-6.283185307179586,0.31944670538436043
-5.783185307179588,-6.283185307179586,0.32031109430090027
-5.733185307179588,-6.283185307179586,0.3188824519142581
-5.683185307179588,-6.283185307179586,0.3152161294010413
-5.6331853071795885,-6.283185307179586,0.3093815803478588
-5.583185307179589,-6.283185307179586,0.30146118673013733
-5.533185307179589,-6.283185307179586,0.2915496972343445
-5.483185307179589,-6.283185307179586,0.27975254899592905
-5.433185307179589,-6.283185307179586,0.2661853375312446
-5.383185307179589,-6.283185307179586,0.25097241116484237
-5.33318530717959,-6.283185307179586,0.23424512079530008
-5.28318530717959,-6.283185307179586,0.2161416031910593
-5.23318530717959,-6.283185307179586,0.1968042269309747
-5.18318530717959,-6.283185307179586,0.17637947997961773
-5.13318530717959,-6.283185307179586,0.155016218921104
-5.0831853071795905,-6.283185307179586,0.13286375173525444
-5.033185307179591,-6.283185307179586,0.1100720542392229
-4.983185307179591,-6.283185307179586,0.08678890057843708
-4.933185307179591,-6.283185307179586,0.06316023485675282
-4.883185307179591,-6.283185307179586,0.03932846090589265
-4.833185307179591,-6.283185307179586,0.015430742006389275
-4.783185307179592,-6.283185307179586,-0.008400333640196156
-4.733185307179592,-6.283185307179586,-0.032039413690666874
-4.683185307179592,-6.283185307179586,-0.05536754440521169
-4.633185307179592,-6.283185307179586,-0.0782735273405154
-4.583185307179592,-6.283185307179586,-0.100655126697067
-4.5331853071795924,-6.283185307179586,-0.12241801949563424
-4.483185307179593,-6.283185307179586,-0.14347786591242095
-4.433185307179593,-6.283185307179586,-0.16375910929652998
-4.383185307179593,-6.283185307179586,-0.18319580044290873
-4.333185307179593,-6.283185307179586,-0.2017321918658609
-4.283185307179593,-6.283185307179586,-0.21932143927694514
-4.2331853071795935,-6.283185307179586,-0.23592690121583815
-4.183185307179594,-6.283185307179586,-0.25152074465083174
-4.133185307179594,-6.283185307179586,-0.2660842136481319
-4.083185307179594,-6.283185307179586,-0.27960765103080154
-4.033185307179594,-6.283185307179586,-0.2920891320239743
-3.9831853071795944,-6.283185307179586,-0.3035350172874606
-3.9331853071795946,-6.283185307179586,-0.31395851685073783
-3.8831853071795948,-6.283185307179586,-0.32337975245822825
-3.833185307179595,-6.283185307179586,-0.33182489936127013
-3.783185307179595,-6.283185307179586,-0.3393254483293578
-3.7331853071795953,-6.283185307179586,-0.3459177891099268
-3.6831853071795955,-6.283185307179586,-0.35164237593516523
-3.6331853071795956,-6.283185307179586,-0.3565430983100296
-3.583185307179596,-6.283185307179586,-0.3606666321160029
-3.533185307179596,-6.283185307179586,-0.36406171045802505
-3.483185307179596,-6.283185307179586,-0.36677860666674056
-3.4331853071795964,-6.283185307179586,-0.3688684438237272
-3.3831853071795965,-6.283185307179586,-0.3703826401324867
-3.3331853071795967,-6.283185307179586,-0.3713723740560869
-3.283185307179597,-6.283185307179586,-0.3718880720022112
-3.233185307179597,-6.283185307179586,-0.3719789867654292
-3.1831853071795972,-6.283185307179586,-0.37169277666108336
-3.1331853071795974,-6.283185307179586,-0.37107516392969886
-3.0831853071795976,-6.283185307179586,-0.37016963624074917
-3.033185307179598,-6.283185307179586,-0.3690172267021697
-2.983185307179598,-6.283185307179586,-0.36765630404886335
-2.933185307179598,-6.283185307179586,-0.3661224596000274
-2.8831853071795983,-6.283185307179586,-0.36444842749078166
-2.8331853071795985,-6.283185307179586,-0.362664050849839
-2.7831853071795987,-6.283185307179586,-0.3607963395548005
-2.733185307179599,-6.283185307179586,-0.3588694871013114
-2.683185307179599,-6.283185307179586,-0.3569050134090164
-2.633185307179599,-6.283185307179586,-0.35492190231766385
-2.5831853071795994,-6.283185307179586,-0.3529367697041107
-2.5331853071795996,-6.283185307179586,-0.3509641055459523
-2.4831853071795997,-6.283185307179586,-0.3490164423792237
-2.4331853071796,-6.283185307179586,-0.3471046341176287
-2.3831853071796,-6.283185307179586,-0.3452380972224429
-2.3331853071796003,-6.283185307179586,-0.3434250568176065
-2.2831853071796004,-6.283185307179586,-0.34167283388387915
-2.2331853071796006,-6.283185307179586,-0.33998803884757595
-2.183185307179601,-6.283185307179586,-0.33837683923454187
-2.133185307179601,-6.283185307179586,-0.3368451658373094
-2.083185307179601,-6.283185307179586,-0.3353988984207268
-2.0331853071796013,-6.283185307179586,-0.33404405843877893
-1.9831853071796015,-6.283185307179586,-0.33278690248563775
-1.9331853071796017,-6.283185307179586,-0.3316340512707502
-1.8831853071796019,-6.283185307179586,-0.3305925445321996
-1.833185307179602,-6.283185307179586,-0.32966987645169366
-1.7831853071796022,-6.283185307179586,-0.3288739664891849
-1.7331853071796024,-6.283185307179586,-0.32821311329269454
-1.6831853071796026,-6.283185307179586,-0.327695902528019
-1.6331853071796028,-6.283185307179586,-0.3273310612750598
-1.583185307179603,-6.283185307179586,-0.3271272938904024
-1.533185307179603,-6.283185307179586,-0.32709306476990796
-1.4831853071796033,-6.283185307179586,-0.32723635897623926
-1.4331853071796035,-6.283185307179586,-0.3275644054695425
-1.3831853071796036,-6.283185307179586,-0.32808338056515435
-1.3331853071796038,-6.283185307179586,-0.32879808002673044
-1.283185307179604,-6.283185307179586,-0.3297115885276928
-1.2331853071796042,-6.283185307179586,-0.3308249289809234
-1.1831853071796044,-6.283185307179586,-0.3321366981883789
-1.1331853071796045,-6.283185307179586,-0.3336427332745787
-1.0831853071796047,-6.283185307179586,-0.33533574066534905
-1.0331853071796049,-6.283185307179586,-0.3372049877399402
-0.9831853071796051,-6.283185307179586,-0.3392359817966308
-0.9331853071796052,-6.283185307179586,-0.3414101707936941
-0.8831853071796054,-6.283185307179586,-0.34370470931213026
-0.8331853071796056,-6.283185307179586,-0.34609224436915415
-0.7831853071796058,-6.283185307179586,-0.3485407323660278
-0.733185307179606,-6.283185307179586,-0.3510133310741052
-0.6831853071796061,-6.283185307179586,-0.35346833306999814
-0.6331853071796063,-6.283185307179586,-0.3558591583216367
-0.5831853071796065,-6.283185307179586,-0.35813442388069094
-0.5331853071796067,-6.283185307179586,-0.3602380510378118
-0.48318530717960684,-6.283185307179586,-0.3621094684486398
-0.433185307179607,-6.283185307179586,-0.3636838759324846
-0.3831853071796072,-6.283185307179586,-0.3648925704885658
-0.33318530717960737,-6.283185307179586,-0.36566335358347324
-0.28318530717960755,-6.283185307179586,-0.3659210035996765
-0.23318530717960773,-6.283185307179586,-0.36558781236738414
-0.1831853071796079,-6.283185307179586,-0.3645841905337235
-0.13318530717960808,-6.283185307179586,-0.362829330605878
-0.08318530717960826,-6.283185307179586,-0.360241926293543
-0.033185307179608436,-6.283185307179586,-0.35674094384631394
0.016814692820391386,-6.283185307179586,-0.3522464347135548
0.06681469282039121,-6.283185307179586,-0.34668038694662506
0.11681469282039103,-6.283185307179586,-0.3399676050445495
0.16681469282039085,-6.283185307179586,-0.33203661345762153
0.21681469282039068,-6.283185307179586,-0.3228205697625493
0.2668146928203905,-6.283185307179586,-0.31225818104795255
0.3168146928203903,-6.283185307179586,-0.3002946004326551
0.36681469282039014,-6.283185307179586,-0.2868823482265441
0.41681469282038996,-6.283185307179586,-0.27198216556723165
0.4668146928203898,-6.283185307179586,-0.25556381300772724
0.5168146928203896,-6.283185307179586,-0.23760690581589303
0.5668146928203894,-6.283185307179586,-0.2181016044058221
0.6168146928203893,-6.283185307179586,-0.19704930719212524
0.6668146928203891,-6.283185307179586,-0.1744631308608649
0.7168146928203889,-6.283185307179586,-0.15036855883542233
0.7668146928203887,-6.283185307179586,-0.12480374779376668
0.8168146928203885,-6.283185307179586,-0.09781985666990722
0.8668146928203884,-6.283185307179586,-0.06948127915755284
0.9168146928203882,-6.283185307179586,-0.0398655922522122
0.966814692820388,-6.283185307179586,-0.0090637269889648
1.0168146928203878,-6.283185307179586,0.022820318398571023
1.0668146928203877,-6.283185307179586,0.05566968278690583
1.1168146928203875,-6.283185307179586,0.08935524277549758
1.1668146928203873,-6.283185307179586,0.12373570214273784
1.2168146928203871,-6.283185307179586,0.15865876371748314
1.266814692820387,-6.283185307179586,0.1939616685603131
1.3168146928203868,-6.283185307179586,0.22947183071304417
1.3668146928203866,-6.283185307179586,0.26500843443839334
1.4168146928203864,-6.283185307179586,0.3003828739034097
1.4668146928203862,-6.283185307179586,0.33540056173655414
1.516814692820386,-6.283185307179586,0.3698619791857473
1.5668146928203859,-6.283185307179586,0.4035638246376812
1.6168146928203857,-6.283185307179586,0.43630104773541833
1.6668146928203855,-6.283185307179586,0.4678677336375232
1.7168146928203853,-6.283185307179586,0.49805922859561436
1.766814692820386,-6.283185307179586,0.5266735005145194
1.816814692820385,-6.283185307179586,0.5535125806802222
1.866814692820384,-6.283185307179586,0.5783846702722563
1.9168146928203846,-6.283185307179586,0.6011052637334798
1.9668146928203853,-6.283185307179586,0.6214991872315405
2.0168146928203843,-6.283185307179586,0.6394019714171683
2.066814692820383,-6.283185307179586,0.6546612727661842
2.116814692820384,-6.283185307179586,0.6671385888425793
2.1668146928203846,-6.283185307179586,0.6767104980919787
